NUTS_ID;CNTR_CODE;NAME_LATN;HW_REGIME;HW_REGIME_S;Z_HOUSINGPREC;Z_LABOUR_PREC
DK03;DK;Syddanmark;Social-democratic unitary rental market;1;0,238;0,379
DK02;DK;Sjælland;Social-democratic unitary rental market;1;0,279;0,359
DK04;DK;Midtjylland;Social-democratic unitary rental market;1;0,279;0,392
DK05;DK;Nordjylland;Social-democratic unitary rental market;1;0,285;0,361
DK01;DK;Hovedstaden;Social-democratic unitary rental market;1;0,364;0,426
NL13;NL;Drenthe;Social-democratic unitary rental market;1;0,156;0,508
NL11;NL;Groningen;Social-democratic unitary rental market;1;0,165;0,554
NL12;NL;Friesland (NL);Social-democratic unitary rental market;1;0,165;0,520
NL41;NL;Noord-Brabant;Social-democratic unitary rental market;1;0,179;0,520
NL23;NL;Flevoland;Social-democratic unitary rental market;1;0,179;0,525
NL22;NL;Gelderland;Social-democratic unitary rental market;1;0,185;0,535
NL42;NL;Limburg (NL);Social-democratic unitary rental market;1;0,189;0,498
NL21;NL;Overijssel;Social-democratic unitary rental market;1;0,196;0,515
NL31;NL;Utrecht;Social-democratic unitary rental market;1;0,245;0,539
NL32;NL;Noord-Holland;Social-democratic unitary rental market;1;0,250;0,548
NL33;NL;Zuid-Holland;Social-democratic unitary rental market;1;0,259;0,527
NL34;NL;Zeeland;Social-democratic unitary rental market;1;0,261;0,501
SE33;SE;Övre Norrland;Social-democratic unitary rental market;1;0,172;0,394
SE32;SE;Mellersta Norrland;Social-democratic unitary rental market;1;0,183;0,403
SE31;SE;Norra Mellansverige;Social-democratic unitary rental market;1;0,227;0,395
SE21;SE;Småland med öarna;Social-democratic unitary rental market;1;0,230;0,380
SE23;SE;Västsverige;Social-democratic unitary rental market;1;0,247;0,407
SE12;SE;Östra Mellansverige;Social-democratic unitary rental market;1;0,270;0,406
SE11;SE;Stockholm;Social-democratic unitary rental market;1;0,302;0,378
SE22;SE;Sydsverige;Social-democratic unitary rental market;1;0,304;0,391
AT31;AT;Oberösterreich;Conservative-corporatist unitary rental market;2;0,170;0,393
AT11;AT;Burgenland;Conservative-corporatist unitary rental market;2;0,188;0,375
AT21;AT;Kärnten;Conservative-corporatist unitary rental market;2;0,202;0,403
AT12;AT;Niederösterreich;Conservative-corporatist unitary rental market;2;0,212;0,367
AT22;AT;Steiermark;Conservative-corporatist unitary rental market;2;0,221;0,408
AT32;AT;Salzburg;Conservative-corporatist unitary rental market;2;0,227;0,418
AT33;AT;Tirol;Conservative-corporatist unitary rental market;2;0,248;0,404
AT34;AT;Vorarlberg;Conservative-corporatist unitary rental market;2;0,256;0,400
AT13;AT;Wien;Conservative-corporatist unitary rental market;2;0,372;0,468
DEB2;DE;Trier;Conservative-corporatist unitary rental market;2;0,124;0,329
DED4;DE;Chemnitz;Conservative-corporatist unitary rental market;2;0,140;0,276
DE23;DE;Oberpfalz;Conservative-corporatist unitary rental market;2;0,140;0,310
DE26;DE;Unterfranken;Conservative-corporatist unitary rental market;2;0,165;0,293
DE22;DE;Niederbayern;Conservative-corporatist unitary rental market;2;0,174;0,302
DEE0;DE;Sachsen-Anhalt;Conservative-corporatist unitary rental market;2;0,175;0,259
DED2;DE;Dresden;Conservative-corporatist unitary rental market;2;0,185;0,306
DE24;DE;Oberfranken;Conservative-corporatist unitary rental market;2;0,189;0,293
DE27;DE;Schwaben;Conservative-corporatist unitary rental market;2;0,191;0,303
DE91;DE;Braunschweig;Conservative-corporatist unitary rental market;2;0,235;0,324
DED5;DE;Leipzig;Conservative-corporatist unitary rental market;2;0,239;0,329
DE94;DE;Weser-Ems;Conservative-corporatist unitary rental market;2;0,241;0,328
DEB1;DE;Koblenz;Conservative-corporatist unitary rental market;2;0,243;0,308
DE93;DE;Lüneburg;Conservative-corporatist unitary rental market;2;0,246;0,331
DE14;DE;Tübingen;Conservative-corporatist unitary rental market;2;0,247;0,319
DE21;DE;Oberbayern;Conservative-corporatist unitary rental market;2;0,249;0,350
DE11;DE;Stuttgart;Conservative-corporatist unitary rental market;2;0,250;0,328
DE25;DE;Mittelfranken;Conservative-corporatist unitary rental market;2;0,251;0,312
